,player_id,player_display_name,position,season,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,fantasy_points_ppr,interceptions,sack_fumbles,sack_fumbles_lost,rushing_fumbles,rushing_fumbles_lost,receiving_fumbles,receiving_fumbles_lost,passing_yards,passing_tds,passing_2pt_conversions,receiving_2pt_conversions,gsis_id,sleeper_id
184,00-0033948,Jamaal Williams,RB,26286,204,806.0,14,53.0,1,9,13,57.0,0,32.0,46.0,3.0,-1.1657591627445072,177.3,0.0,0,0,3.0,2.0,0.0,0.0,0.0,0,0,0,00-0033948,4149
185,00-0033951,Marlon Mack,RB,6066,7,25.0,0,0.0,0,4,5,73.0,1,-11.0,80.0,1.0,3.5021636211313307,19.799999999999997,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033951,4152
186,00-0034011,Dan Arnold,TE,16176,0,0.0,0,0.0,0,8,11,118.0,0,45.0,74.0,4.0,5.186592632904649,19.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034011,4741
187,00-0034054,River Cracraft,WR,14154,0,0.0,0,0.0,0,8,13,97.0,2,117.0,26.0,8.0,1.9659085886669345,29.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034054,4854
188,00-0034073,Ross Dwelley,TE,8088,0,0.0,0,0.0,0,3,5,105.0,1,69.0,43.0,3.0,8.342849017702974,19.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034073,5285
189,00-0034104,Cam Sims,WR,20220,0,0.0,0,0.0,0,7,16,73.0,0,211.0,18.0,4.0,-5.905840651830658,14.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034104,5432
190,00-0034109,Phillip Lindsay,RB,6066,15,49.0,0,1.0,1,6,8,19.0,0,17.0,11.0,0.0,-1.5184940778417513,14.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034109,
191,00-0034115,Jeff Wilson,RB,26286,136,706.0,4,35.0,0,16,26,149.0,1,84.0,109.0,6.0,-4.996670701373988,127.50000000000001,0.0,0,0,2.0,1.0,1.0,1.0,0.0,0,0,0,00-0034115,5284
192,00-0034159,Will Dissly,TE,26286,0,0.0,0,0.0,0,32,36,317.0,3,191.0,167.0,18.0,24.39298554591369,81.7,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034159,5010
193,00-0034160,Michael Dickson,P,4044,2,-18.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-3.8,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,00-0034160,
194,00-0034171,Jason Cabinda,FB,4044,1,4.0,0,1.0,0,0,2,0.0,0,8.0,0.0,0.0,-1.2630572001216933,0.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034171,
195,00-0034184,Gus Edwards,RB,10110,62,261.0,3,21.0,0,0,2,0.0,0,6.0,0.0,0.0,-1.012467852095142,42.1,0.0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,00-0034184,5248
196,00-0034208,Mike Boone,RB,16176,24,102.0,0,6.0,0,9,15,96.0,0,45.0,81.0,2.0,-7.14867603957688,28.800000000000004,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034208,5209
197,00-0034253,Dontrell Hilliard,RB,22242,22,145.0,0,4.0,0,21,26,177.0,4,39.0,151.0,8.0,5.730506802088248,77.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034253,5536
198,00-0034270,Tyler Conklin,TE,26286,1,1.0,0,1.0,0,45,71,418.0,3,490.0,226.0,18.0,-4.400271900373119,104.9,0.0,0,0,0.0,0.0,2.0,0.0,0.0,0,0,0,00-0034270,5133
199,00-0034272,Marquez Valdes-Scantling,WR,26286,1,-3.0,0,0.0,0,34,61,606.0,1,833.0,140.0,27.0,21.541385651441907,100.30000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0034272,5086
