added_player_name,creator,faab_spent,points_as_starter,created,drops_named,points_as_starter_by_week,weeks_started,leg
Robbie Gould,jakesmyth,0,8.0,[1663116190454],[{'Rodrigo Blankenship': 'jakesmyth'}],[8.0],[2],[1]
Rodrigo Blankenship,jakesmyth,0,8.0,[1662600684297],[{'Rondale Moore': 'jakesmyth'}],[8.0],[1],[1]
Las Vegas Raiders,carlogesualdo,0,8.0,[1670378424606],[{'Baltimore Ravens': 'carlogesualdo'}],[8.0],[14],[13]
Mark Ingram,emilyhan,0,7.8,[1663515560520],[None],"[4.1, 3.7]","[2, 7]",[2]
Robert Woods,jakesmyth,0,7.4,[1670474734227],[{'James Robinson': 'jakesmyth'}],[7.4],[14],[14]
Cade Otton,emilyhan,0,7.3,[1666829358084],[None],"[2.5, 4.8]","[8, 14]",[8]
Mack Hollins,jakesmyth,0,7.2,[1670474946346],[{'Aaron Rodgers': 'jakesmyth'}],[7.2],[14],[14]
New York Jets,llatham65,0,7.0,[1666302800585],[{'San Francisco 49ers': 'llatham65'}],[7.0],[7],[7]
DeAndre Carter,anahan,0,7.0,[1663105631464],[{'Isaiah McKenzie': 'anahan'}],[7.0],[2],[1]
Jason Sanders,julesdefwatchesftbll,0,7.0,[1670544610520],[{'Juwan Johnson': 'julesdefwatchesftbll'}],[7.0],[14],[14]
Nyheim Hines,phan497,0,6.8,[1666540502474],[None],[6.8],[7],[7]
Gus Edwards,phan497,0,6.5,[1666446914619],[None],[6.5],[8],[7]
Kenyan Drake,mattlatham,0,6.3,[1668598532939],[{'Caleb Huntley': 'mattlatham'}],[6.3],[11],[11]
Minnesota Vikings,carlogesualdo,0,6.0,[1667329002024],[{'Indianapolis Colts': 'carlogesualdo'}],[6.0],[9],[8]
Jason Myers,emilyhan,0,6.0,[1670383445339],[{'Younghoe Koo': 'emilyhan'}],[6.0],[14],[13]
Cincinnati Bengals,llatham65,0,6.0,[1667403722085],[{'Tennessee Titans': 'llatham65'}],[6.0],[9],[9]
Tennessee Titans,mattlatham,0,6.0,[1664974061407],[{'Cincinnati Bengals': 'mattlatham'}],[6.0],[5],[5]
Tyler Huntley,julesdefwatchesftbll,0,5.62,[1670685329340],[{'Wil Lutz': 'julesdefwatchesftbll'}],[5.62],[14],[14]
Jacksonville Jaguars,carlogesualdo,0,5.0,[1664883467181],[{'Baltimore Ravens': 'carlogesualdo'}],[5.0],[5],[4]
Pittsburgh Steelers,carlogesualdo,0,5.0,[1664364428973],[{'Darrel Williams': 'carlogesualdo'}],[5.0],[4],[4]
Indianapolis Colts,carlogesualdo,0,5.0,[1666812874293],[None],[5.0],[8],[8]
Brandon McManus,andyhan4,0,5.0,[1666147295003],[{'Jake Elliott': 'andyhan4'}],"[2.0, 3.0]","[7, 8]",[6]
Matt Gay,ujthechamp,0,5.0,[1668047680875],[None],[5.0],[10],[10]
Terrace Marshall,mattlatham,0,4.8,[1667999135679],[{'Ty Johnson': 'mattlatham'}],[4.8],[10],[10]
Mack Hollins,phan497,11,4.8,[1664297242701],[None],[4.8],[4],[3]
Nico Collins,llatham65,0,4.8,[1664911035946],[{'Jakobi Meyers': 'llatham65'}],[4.8],[7],[4]
Mike Boone,mattlatham,11,4.8,"[1664934954195, 1670591840449]","[{'Romeo Doubs': 'mattlatham'}, {'DeeJay Dallas': 'mattlatham'}]","[0.9, 3.9]","[6, 14]","[4, 14]"
Deon Jackson,andyhan4,0,4.6,[1667416085830],[{'Carson Wentz': 'andyhan4'}],[4.6],[9],[9]
Romeo Doubs,mattlatham,0,4.1,"[1664369068596, 1665883367796]","[{'Jaylen Warren': 'mattlatham'}, {'Alexander Mattison': 'mattlatham'}]",[4.1],[6],"[4, 6]"
Mike Gesicki,anahan,1,4.1,[1667425530497],[{'Denver Broncos': 'anahan'}],[4.1],[10],[9]
Pittsburgh Steelers,phan497,0,4.0,[1669728866638],[None],[4.0],[14],[12]
Brett Maher,carlogesualdo,0,4.0,[1668002905000],[{'Cameron Dicker': 'carlogesualdo'}],[4.0],[10],[10]
Cincinnati Bengals,julesdefwatchesftbll,0,4.0,[1666444227791],[{'Jacksonville Jaguars': 'julesdefwatchesftbll'}],[4.0],[7],[7]
